"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","63/1351","227/9521",0.277533039647577,1.95587866061035,5.9271986290962,5.29372203202023e-08,1.52194508420582e-06,1.1609039543904e-06,"1329/539/4706/1349/518/509/522/6647/506/7388/29796/4725/55967/7386/4711/7385/4695/1340/4728/9446/1345/4259/292/4718/4710/4697/4702/4698/5894/9377/4722/10476/4694/253152/498/4701/291/126328/5609/4541/4716/6416/6390/25865/4729/5601/3551/4713/4257/50507/4792/5602/7419/7384/52/7416/4717/4708/5747/673/5603/27035/3082",63
NA,NA,"hsa04517","IgSF CAM signaling","74/1351","302/9521",0.245033112582781,1.72683957431581,5.21957629138986,9.05197394097678e-07,2.40225462279768e-05,1.8323833888617e-05,"10580/23114/23705/8655/10383/56288/2260/10376/6709/23136/219699/5058/57522/2308/10381/7846/7430/2534/5375/84790/5579/9353/6334/5921/998/79784/5792/203068/7277/10094/5601/7204/4628/117178/139065/8499/9223/23085/26047/113457/7280/6092/5962/4916/9414/5602/4067/26050/3689/7189/145581/10097/25945/8500/55558/3736/92154/5747/4301/387/5829/5603/5376/4008/9901/84617/288/5588/140735/3937/340156/23380/8828/80059",74
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","71/1351","300/9521",0.236666666666667,1.66787811497656,4.77973643709708,5.70555988333713e-06,0.000140601297125094,0.000107247366228142,"5228/2872/3727/783/4208/2260/3925/2316/5058/3312/9448/57551/7132/5567/5894/5579/2768/51776/408/5921/998/5609/1850/4254/6416/5601/1969/7042/5607/3643/3551/5530/2261/285/2064/6196/3479/5602/2122/3304/5979/2322/1946/7189/5532/785/3303/9175/51701/3554/5494/7157/5534/284/5156/2263/5924/9064/84451/673/5603/5321/5533/7867/5536/55799/6885/2253/3082/779/8911",71
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","40/1351","144/9521",0.277777777777778,1.95760342133399,4.70836472736376,1.39324482673597e-05,0.000320446310149273,0.000244428916971223,"5682/292/5695/5718/10213/2259/5579/5689/291/5686/5601/55102/488/6511/29982/5684/3708/5710/5701/5602/5717/5330/5683/5692/2959/2475/116443/9861/5332/7419/5331/7416/6095/2903/2902/10939/92552/5688/5719/2892",40
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","44/1351","170/9521",0.258823529411765,1.82402577611355,4.4083021061605,3.63210172772818e-05,0.00078317193504139,0.000597385152586872,"8189/23513/56288/10376/93643/79778/24146/7846/5567/7430/84790/2017/8531/6794/998/5609/79784/7277/10094/5601/4628/5515/9223/9181/5872/55844/2064/113457/5962/9414/5602/10097/3996/51208/4301/3308/387/3993/54566/1741/23327/100506658/7408/153562",44
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","50/1351","203/9521",0.246305418719212,1.73580598936019,4.30908543637931,4.56486655452906e-05,0.000916958120434306,0.000699434111696649,"10383/10376/5058/10381/24146/7846/7132/7430/8795/2534/84790/2017/10972/2768/998/79784/26999/203068/7277/10094/5601/9138/4628/3551/9181/113457/7280/4792/5602/9265/375/7189/4793/114548/4651/10097/3554/4645/51208/387/5603/9266/5861/114483834/6885/84617/4644/10163/100506658/4542",50
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","59/1351","252/9521",0.234126984126984,1.64998002655294,4.25225167626633,4.85807019027934e-05,0.000916958120434306,0.000699434111696649,"9727/119016/832/56288/8766/3312/1213/51510/55737/51324/9135/8724/26052/8395/408/998/58513/8027/57403/10094/84249/7852/11031/2261/50807/3133/273/60682/9265/3304/375/7189/3303/51699/51019/10097/9829/6456/51534/5156/2263/55680/25978/27243/387/6643/9765/9266/55040/2350/30846/160/23327/8723/93343/2868/2870/23096/857",59
"Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","17/1351","44/9521",0.386363636363636,2.72284839512819,4.65771682309396,5.30948819565493e-05,0.000916958120434306,0.000699434111696649,"8655/8766/1780/51143/5567/4905/1778/2778/10671/90993/51164/84516/1781/51626/361/140735/396",17
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","41/1351","157/9521",0.261146496815287,1.84039659228597,4.31756144444108,5.31569924889453e-05,0.000916958120434306,0.000699434111696649,"1329/4706/1349/7388/29796/4725/55967/7386/4711/7385/4695/1340/4728/1345/4718/7132/4710/4697/4702/4698/9377/4722/4694/4701/126328/998/4716/6390/4729/5601/5465/3643/3551/4713/5602/6945/7384/4717/4708/5603/9021",41
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","23/1351","70/9521",0.328571428571429,2.31556518980649,4.4921849889607,5.73228357218762e-05,0.000933588168821711,0.000712119121908247,"32/7132/6794/2182/5601/7133/2181/5465/3551/4792/5602/2475/23305/4793/4794/10891/6513/948/10645/9021/1375/5588/23205",23
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","29/1351","98/9521",0.295918367346939,2.08544691007417,4.39199815905747,5.95331585915294e-05,0.000933588168821711,0.000712119121908247,"491/5567/482/5579/818/805/25865/2778/801/492/3777/3708/57172/107/5330/6770/90993/5332/5331/476/477/478/57118/1388/814/183/779/8911/3762",29
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","19/1351","53/9521",0.358490566037736,2.52641649092915,4.53123910799084,6.58521051620727e-05,0.00098778157743109,0.000753456580801747,"8766/1213/491/5567/482/5579/26052/2778/492/5330/5332/5331/6547/2099/476/477/478/793/160",19
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","22/1351","67/9521",0.328358208955224,2.31406255178585,4.3891534214351,8.3515902142498e-05,0.00120054109329841,0.000915744541036162,"1387/5567/5894/5579/818/805/801/5530/10411/3708/6196/107/5330/5332/5331/5532/5534/2903/2902/673/814/5533",22
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","17/1351","46/9521",0.369565217391304,2.60446368229653,4.43561984725055,0.000102260705407186,0.00141119773461917,0.00107642847797038,"5682/5695/5718/10213/5689/5686/5684/5710/5701/5717/5683/5692/9861/10197/5688/5719/5720",17
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","26/1351","87/9521",0.298850574712644,2.10611126709036,4.21449581538877,0.000117916803465768,0.0015646652767573,0.00119348991362113,"1329/1349/7170/783/7388/29796/7386/7385/1340/1345/482/9377/488/444/10479/6547/7384/785/476/477/478/7168/84679/55799/7169/779",26
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","22/1351","71/9521",0.309859154929577,2.18369283055848,4.07087163059006,0.000217439312178443,0.00277839121116899,0.00211929154170022,"2260/3939/5894/3945/2261/2744/57103/2064/4916/2475/27165/5979/2322/5163/7157/6513/5156/2263/5162/23410/2645/3099",22
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","23/1351","76/9521",0.302631578947368,2.13275741166387,4.03160381888426,0.000233141892536031,0.00287264117589039,0.00219118320052661,"5567/482/7430/5579/818/805/887/2778/801/3766/3708/6750/107/5330/5332/5331/476/477/478/3784/1131/54207/340156",23
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","9/1351","18/9521",0.5,3.52368615840118,4.35789090653296,0.000328964792727747,0.00391354667210596,0.0029851614585095,"32/84869/2182/2181/23305/51102/55301/54995/23205",9
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","38/1351","155/9521",0.245161290322581,1.7277428905709,3.71451284277872,0.000397057335519467,0.00456615935847387,0.0034829590835041,"2983/783/4208/5567/5894/5579/818/805/2778/801/5607/5530/3708/57172/107/5330/5332/6263/5331/5532/785/5997/57118/5534/3760/2977/5743/387/814/5321/10645/5533/55799/1827/779/340156/3762/4660",38
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","30/1351","116/9521",0.258620689655172,1.8225962888282,3.62469493506406,0.000612436198439457,0.00681582220843912,0.00519894905296653,"2901/5567/5579/2893/10681/2778/5530/6511/81539/2744/3708/9454/10991/107/5330/116443/27165/5332/5331/5532/85358/5534/9229/2903/2902/3760/5321/5533/2912/2892",30
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","55/1351","253/9521",0.217391304347826,1.53203746017443,3.48774383753346,0.000639989639793119,0.00689988830401956,0.00526307269566709,"2308/23157/7132/6500/7323/2017/7307/10670/998/23048/10094/5601/7334/7336/596/3551/9181/3708/23176/11146/8454/4792/5602/5330/2475/9265/375/5332/9474/5331/7189/4793/7416/114548/960/8878/10097/3554/7157/10801/472/10325/5747/387/5829/5603/9266/5481/6885/10892/7321/5588/10163/3099/6352",55
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","31/1351","122/9521",0.254098360655738,1.79072575263011,3.57437483838886,0.000692625511669978,0.00717457395789753,0.00547259645911329,"10025/2308/23389/7067/1387/10231/5567/482/5894/5579/9969/488/4853/5330/2475/5332/9282/5331/2099/476/477/478/7157/3065/6009/6513/117247/116931/1827/7249/7068",31
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","55/1351","254/9521",0.216535433070866,1.52600581663043,3.45519803373105,0.000707059462517437,0.00717457395789753,0.00547259645911329,"3707/2260/80228/292/491/5567/5579/818/3356/7942/805/291/887/2778/7852/488/801/5530/492/444/2261/3708/2064/57172/4916/107/5330/116443/5136/5979/5332/6263/7419/5331/6547/5532/7416/57118/5534/2903/2902/1128/1131/5156/2263/4485/6588/814/5533/2253/3082/552/779/8911/340156",55
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","25/1351","92/9521",0.271739130434783,1.91504682521803,3.58624152394288,0.000781345010655471,0.00770182939074679,0.00587477451620655,"2983/10383/10376/10381/7846/5567/5894/84790/5579/3356/203068/7277/2778/5607/2697/3708/113457/7280/107/5330/5332/5331/5156/2977/84617",25
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","39/1351","166/9521",0.234939759036145,1.65570795394754,3.46559429779931,0.000823389696017475,0.00789081792016747,0.00601893052644353,"2983/4208/292/491/482/5894/2768/805/291/488/801/3643/5530/492/3708/107/5330/5139/90993/5332/7419/5331/6547/5532/3827/7416/476/477/5997/478/5534/10335/2977/1388/387/5533/779/340156/7408",39
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","42/1351","184/9521",0.228260869565217,1.60863933318315,3.39000522557103,0.000986002532394892,0.00919380739665508,0.00701282028730364,"54910/56288/219699/5058/57522/91653/2534/5894/80031/655/818/9353/59277/5921/998/6405/7852/1969/5727/5530/10371/5364/6092/2051/2045/3985/1946/5532/64101/5534/55558/23654/29984/22854/5747/387/5533/2042/9901/2043/1072/23380",42
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","20/1351","69/9521",0.289855072463768,2.0427166135659,3.53479394607091,0.00106948686629415,0.00946084535567904,0.00721651056878645,"116/2983/5567/358/805/2778/801/5530/3708/5330/5139/5136/5332/5331/5532/5534/2977/5533/183/779",20
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","20/1351","69/9521",0.289855072463768,2.0427166135659,3.53479394607091,0.00106948686629415,0.00946084535567904,0.00721651056878645,"5567/5579/818/805/2893/2778/801/5530/116443/90993/5532/3065/5534/2903/2902/2354/1388/814/5533/2892",20
"Cellular Processes","Cell motility","hsa04814","Motor proteins","44/1351","197/9521",0.223350253807107,1.57403239563099,3.31057555302871,0.00121269914166252,0.0104595300968392,0.00797828382672711,"7170/8655/23095/10383/832/10376/10381/11127/1780/64147/7846/51143/84790/1768/6990/55860/79784/203068/1778/7277/3831/4628/22920/113457/7280/3832/10671/10749/51164/84516/4651/7168/1781/4645/200132/57576/51626/25981/84617/4644/140735/51174/7169/4542",44
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","23/1351","86/9521",0.267441860465116,1.88476236379598,3.35150625336733,0.00157310768308008,0.0129369937440038,0.0098680348924514,"116/6616/5567/482/5579/818/2778/9699/3782/107/5330/90993/5332/5331/476/885/477/478/6513/1131/1388/2645/779",23
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","20/1351","71/9521",0.28169014084507,1.98517530050771,3.38814435507112,0.00157493836883524,0.0129369937440038,0.0098680348924514,"5058/529/51382/526/998/6416/5601/51606/3551/528/10312/534/4792/5602/4067/8992/523/5603/2919/6352",20
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","27/1351","108/9521",0.25,1.76184307920059,3.2377886437564,0.00192691183740114,0.0154601066024045,0.0117926061040461,"3842/10921/7919/5903/10284/7329/1434/11269/11097/5901/30000/10527/81929/7341/3843/1917/10762/29107/8563/3838/4927/23225/3840/51194/84321/23511/9631",27
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","23/1351","89/9521",0.258426966292135,1.82123104816241,3.16514483636785,0.00255933910137329,0.0200675452266769,0.0153070520417063,"5567/5579/4905/2554/23710/10681/2566/81539/2744/2557/2571/10991/2572/107/27165/57468/10243/140679/2561/2558/2563/779/2562",23
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","9/1351","23/9521",0.391304347826087,2.75766742831397,3.43178175212192,0.0028389991983913,0.021765660521,0.0166023344935164,"4190/482/358/2744/10991/27165/476/477/478",9
"Organismal Systems","Nervous system","hsa04730","Long-term depression","17/1351","60/9521",0.283333333333333,1.99675548976067,3.14942202737483,0.00321709472074356,0.0241282104055767,0.018404432040867,"2983/5894/5579/2768/2778/5515/3708/3479/5330/4067/5332/5331/2977/1392/673/5321/2892",17
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","13/1351","41/9521",0.317073170731707,2.23453268581539,3.22125772491545,0.00328978537051532,0.0241484245282507,0.018419850898742,"2554/2893/2566/2557/116443/2903/2902/140679/2561/2558/2563/2562/2892",13
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","31/1351","134/9521",0.23134328358209,1.63036225239458,2.98823198069707,0.00345918400160809,0.0248206048116186,0.0189325742270165,"2983/5567/5894/5579/2768/805/79784/9138/4628/2778/801/5739/3708/107/5330/5332/5331/10335/2977/10266/5583/673/387/5321/5588/183/8399/552/779/340156/4660",31
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","26/1351","107/9521",0.242990654205607,1.7124456096903,3.01364177110761,0.00352524532107046,0.0248206048116186,0.0189325742270165,"32/2308/3939/1387/5567/3945/818/805/2778/801/5465/5530/3708/5330/57223/90993/5332/5331/5532/5534/10891/6513/5162/2645/5533/1375",26
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","38/1351","174/9521",0.218390804597701,1.53908131056603,2.91828631622182,0.00380654599536824,0.0261233134963352,0.0199262498065105,"5467/1856/6907/84445/1387/5567/6500/5579/1488/818/8313/5601/83439/5530/440193/27101/57805/8454/5602/5330/5332/5331/23500/5532/51701/22943/7157/5534/340419/5176/7090/387/5533/6885/79718/1487/1457/8840",38
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","24/1351","97/9521",0.247422680412371,1.74367974848718,2.99356921491894,0.00386170721250173,0.0261233134963352,0.0199262498065105,"116/2983/5567/5579/818/805/2893/10681/2778/801/5187/3708/107/5330/5332/6263/5331/2903/2902/3760/2977/8911/3762/2892",24
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","37/1351","169/9521",0.218934911242604,1.54291583267271,2.89573443437917,0.00407914484157672,0.0270635571219994,0.0206434455545381,"203228/5567/54541/9842/5894/10670/6794/23710/81671/5601/55102/64419/5515/596/9342/29982/27072/3920/3708/5602/2475/9474/7189/83734/8878/6009/9110/10325/10645/116442/5861/10652/6885/5588/7249/64689/64601",37
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","24/1351","98/9521",0.244897959183673,1.72588709799242,2.9371264209029,0.00444335918036682,0.028923753155218,0.0220623593861312,"3707/5579/805/8760/8395/1040/64419/801/5286/1607/3708/8867/1608/5330/5332/5331/3636/54928/9110/8898/8821/200576/8776/9107",24
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","10/1351","29/9521",0.344827586206897,2.43012838510427,3.13639159389975,0.00491066458199842,0.0313736903849899,0.0239311139473607,"26524/8642/5058/7003/10413/23286/8994/25937/83937/8463",10
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","34/1351","154/9521",0.220779220779221,1.55591336864468,2.82814934172079,0.00501176767127711,0.0314374517561928,0.0239797496233355,"7170/783/491/5567/482/55012/818/805/2778/488/5515/596/801/492/10411/55844/107/5330/90993/5332/5331/6547/785/476/477/478/7168/3784/1388/5603/55799/183/7169/779",34
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","30/1351","133/9521",0.225563909774436,1.58963285341407,2.78455675535501,0.00586829196141827,0.0361528701194518,0.0275765599690708,"5567/55012/5579/818/805/408/2893/5601/10681/2778/5515/801/5530/55844/3708/5602/5330/90993/5332/5331/5532/2903/3760/1388/50632/5603/5533/6323/3762/2892",30
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","47/1351","233/9521",0.201716738197425,1.4215729566082,2.64926084734234,0.00705543399557734,0.0427039426048102,0.0325735641531733,"9672/3679/7170/85301/832/6709/50509/1837/4000/1462/482/1277/8557/88/79784/2026/633/25777/4628/3693/2192/171024/10611/23500/1465/1605/3655/476/477/478/7168/8572/23345/1290/2274/7111/2200/6385/3672/288/1634/7169/1293/1284/3696/6382/3691",47
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","22/1351","91/9521",0.241758241758242,1.70376034032585,2.74299337834951,0.00738361049091787,0.043785251295247,0.033398361018495,"5143/5567/5579/408/2554/10681/2778/2566/2557/107/5139/5136/3760/140679/10846/2561/2558/2563/3762/2868/2870/2562",22
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","44/1351","216/9521",0.203703703703704,1.43557584231159,2.63310145105687,0.00748791254034658,0.043785251295247,0.033398361018495,"3312/7132/8795/818/805/998/5609/6416/5601/9138/1559/596/801/3551/5530/3708/4792/5602/5330/4067/3304/5332/5331/7189/5532/3303/3326/114548/3306/7157/23643/5534/1558/5747/3308/387/5603/948/5533/2919/27035/10333/6885/6352",44
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","31/1351","142/9521",0.21830985915493,1.53851085789347,2.62902967993259,0.00845509895450833,0.0486168189884229,0.0370837673443348,"7295/4208/9446/4259/7132/657/805/5609/6416/5601/596/801/5607/3551/9181/5175/4257/5602/7341/3326/8878/3554/7157/5747/387/5603/6385/27035/6885/6382/857",31
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","25/1351","109/9521",0.229357798165138,1.61636979743174,2.63177501733598,0.0090827611207008,0.0513697145351111,0.0391836113921518,"32/2308/7132/5579/5792/376497/5601/5465/3643/3551/6196/4792/5602/6945/2475/90993/10891/6513/10724/90673/948/9021/1375/5588/183",25
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","26/1351","115/9521",0.226086956521739,1.5933189585814,2.60297369446192,0.0095700314662771,0.0529109941982717,0.0403592633091318,"3727/5143/4208/2260/5567/65125/5894/5579/2768/1958/4666/408/9138/6446/2778/596/3708/107/5330/90993/5332/5331/65268/1388/673/387",26
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","14/1351","51/9521",0.274509803921569,1.93457279284771,2.7211867820128,0.00966200763620614,0.0529109941982717,0.0403592633091318,"529/5567/51382/526/2778/51606/528/10312/534/9414/8992/523/375/3784",14
